ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,5.71999979,5.72,NTU,51.10122,-114.27975,06/11/2018,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.279999971,3.28,NTU,51.10122,-114.27975,07/09/2018 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.539999962,1.54,NTU,51.10122,-114.27975,08/13/2018 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.389999986,1.39,NTU,51.10122,-114.27975,09/10/2018 ,Turbidity,SUR_BR-BD
30091390,Bow River Below Bearspaw Dam,1,1,NTU,51.100403,-114.270774,10/09/2018 ,Turbidity,SUR_BR-BD
30404667,Bow River Below Bearspaw Dam,1.1,1.1,NTU,51.100403,-114.270774,11/12/2018,Turbidity,SUR_BR-BD
30646154,Bow River Below Bearspaw Dam,0.94,0.94,NTU,51.100403,-114.270774,12/10/2018,Turbidity,SUR_BR-BD
30919317,Bow River Below Bearspaw Dam,0.87,0.87,NTU,51.100403,-114.270774,01/16/2019 ,Turbidity,SUR_BR-BD
31166181,Bow River Below Bearspaw Dam,1.6,1.6,NTU,51.100403,-114.270774,02/14/2019 ,Turbidity,SUR_BR-BD
31370103,Bow River Below Bearspaw Dam,2.1,2.1,NTU,51.100403,-114.270774,03/13/2019 ,Turbidity,SUR_BR-BD
31461383,Bow River Below Bearspaw Dam,2.1,2.1,NTU,51.100403,-114.270774,04/11/2019 ,Turbidity,SUR_BR-BD
31765297,Bow River Below Bearspaw Dam,2.5,2.5,NTU,51.100403,-114.270774,05/15/2019 ,Turbidity,SUR_BR-BD
32026430,Bow River Below Bearspaw Dam,9.4,9.4,NTU,51.100403,-114.270774,06/12/2019,Turbidity,SUR_BR-BD
